match_number,team,player_name,career_ipl_matches_before_match
21,Sunrisers Hyderabad,PP Hinge,0
21,Sunrisers Hyderabad,E Malinga,11
21,Rajasthan Royals,Sandeep Sharma,140
21,Rajasthan Royals,YBK Jaiswal,70
21,Rajasthan Royals,V Suryavanshi,11
21,Rajasthan Royals,Dhruv Jurel,45
21,Rajasthan Royals,LG Pretorius,0
21,Rajasthan Royals,R Parag,87
21,Rajasthan Royals,RA Jadeja,257
21,Rajasthan Royals,D Ferreira,6
21,Rajasthan Royals,JC Archer,56
21,Rajasthan Royals,TU Deshpande,48
21,Rajasthan Royals,Ravi Bishnoi,81
21,Rajasthan Royals,N Burger,9
22,Chennai Super Kings,AJ Hosein,2
22,Chennai Super Kings,SV Samson,180
22,Chennai Super Kings,RD Gaikwad,75
22,Chennai Super Kings,A Mhatre,11
22,Chennai Super Kings,D Brevis,17
22,Chennai Super Kings,SN Khan,54
22,Chennai Super Kings,S Dube,83
22,Chennai Super Kings,J Overton,6
22,Chennai Super Kings,Noor Ahmad,41
22,Chennai Super Kings,A Kamboj,15
22,Chennai Super Kings,Gurjapneet Singh,1
22,Chennai Super Kings,KK Ahmed,75
22,Kolkata Knight Riders,CV Varun,85
22,Kolkata Knight Riders,FH Allen,4
22,Kolkata Knight Riders,SP Narine,191
22,Kolkata Knight Riders,AM Rahane,202
22,Kolkata Knight Riders,A Raghuvanshi,26
22,Kolkata Knight Riders,RK Singh,62
22,Kolkata Knight Riders,C Green,33
22,Kolkata Knight Riders,R Powell,30
22,Kolkata Knight Riders,Ramandeep Singh,34
22,Kolkata Knight Riders,AS Roy,15
22,Kolkata Knight Riders,VG Arora,36
22,Kolkata Knight Riders,Kartik Tyagi,24
23,Lucknow Super Giants,MR Marsh,59
23,Lucknow Super Giants,AK Markram,61
23,Lucknow Super Giants,RR Pant,129
23,Lucknow Super Giants,N Pooran,94
23,Lucknow Super Giants,A Badoni,60
23,Lucknow Super Giants,Abdul Samad,67
23,Lucknow Super Giants,MD Choudhary,4
23,Lucknow Super Giants,GF Linde,1
23,Lucknow Super Giants,Mohammed Shami,123
23,Lucknow Super Giants,Avesh Khan,78
23,Lucknow Super Giants,DS Rathi,16
23,Lucknow Super Giants,Prince Yadav,10
23,Royal Challengers Bengaluru,Suyash Sharma,30
23,Royal Challengers Bengaluru,PD Salt,38
23,Royal Challengers Bengaluru,V Kohli,270
23,Royal Challengers Bengaluru,D Padikkal,78
23,Royal Challengers Bengaluru,RM Patidar,46
23,Royal Challengers Bengaluru,JM Sharma,59
23,Royal Challengers Bengaluru,TH David,54
23,Royal Challengers Bengaluru,R Shepherd,22
23,Royal Challengers Bengaluru,KH Pandya,146
23,Royal Challengers Bengaluru,B Kumar,194
23,Royal Challengers Bengaluru,Rasikh Salam,14
23,Royal Challengers Bengaluru,JR Hazlewood,40
24,Mumbai Indians,AM Ghazanfar,2
24,Mumbai Indians,RD Rickelton,18
24,Mumbai Indians,Q de Kock,115
24,Mumbai Indians,SA Yadav,170
24,Mumbai Indians,Naman Dhir,27
24,Mumbai Indians,HH Pandya,155
24,Mumbai Indians,SE Rutherford,27
24,Mumbai Indians,Tilak Varma,58
24,Mumbai Indians,Mayank Rawat,0
24,Mumbai Indians,SN Thakur,109
24,Mumbai Indians,DL Chahar,97
24,Mumbai Indians,JJ Bumrah,149
24,Punjab Kings,Priyansh Arya,21
24,Punjab Kings,P Simran Singh,56
24,Punjab Kings,C Connolly,4
24,Punjab Kings,SS Iyer,137
24,Punjab Kings,MP Stoinis,114
24,Punjab Kings,Shashank Singh,46
24,Punjab Kings,M Jansen,40
24,Punjab Kings,XC Bartlett,8
24,Punjab Kings,Vijaykumar Vyshak,20
24,Punjab Kings,Arshdeep Singh,87
24,Punjab Kings,YS Chahal,179
24,Punjab Kings,Punjab Kings Substitute 12,30
25,Kolkata Knight Riders,CV Varun,86
25,Kolkata Knight Riders,TL Seifert,3
25,Kolkata Knight Riders,AM Rahane,203
25,Kolkata Knight Riders,A Raghuvanshi,27
25,Kolkata Knight Riders,C Green,34
25,Kolkata Knight Riders,R Powell,31
25,Kolkata Knight Riders,AS Roy,16
25,Kolkata Knight Riders,RK Singh,63
25,Kolkata Knight Riders,Ramandeep Singh,35
25,Kolkata Knight Riders,SP Narine,192
25,Kolkata Knight Riders,Kartik Tyagi,25
25,Kolkata Knight Riders,VG Arora,37
25,Gujarat Titans,M Prasidh Krishna,70
25,Gujarat Titans,B Sai Sudharsan,44
25,Gujarat Titans,Shubman Gill,121
25,Gujarat Titans,JC Buttler,125
25,Gujarat Titans,Washington Sundar,70
25,Gujarat Titans,GD Phillips,12
25,Gujarat Titans,R Tewatia,112
25,Gujarat Titans,M Shahrukh Khan,59
25,Gujarat Titans,Rashid Khan,140
25,Gujarat Titans,Ashok Sharma,4
25,Gujarat Titans,K Rabada,88
25,Gujarat Titans,Mohammed Siraj,112
26,Royal Challengers Bengaluru,PD Salt,39
26,Royal Challengers Bengaluru,V Kohli,271
26,Royal Challengers Bengaluru,D Padikkal,79
26,Royal Challengers Bengaluru,RM Patidar,47
26,Royal Challengers Bengaluru,TH David,55
26,Royal Challengers Bengaluru,JM Sharma,60
26,Royal Challengers Bengaluru,R Shepherd,23
26,Royal Challengers Bengaluru,KH Pandya,147
26,Royal Challengers Bengaluru,Rasikh Salam,15
26,Royal Challengers Bengaluru,B Kumar,195
26,Royal Challengers Bengaluru,Suyash Sharma,31
26,Royal Challengers Bengaluru,JR Hazlewood,41
26,Delhi Capitals,Mukesh Kumar,36
26,Delhi Capitals,P Nissanka,4
26,Delhi Capitals,KL Rahul,150
26,Delhi Capitals,KK Nair,84
26,Delhi Capitals,Sameer Rizvi,18
26,Delhi Capitals,T Stubbs,37
26,Delhi Capitals,AR Patel,167
26,Delhi Capitals,DA Miller,145
26,Delhi Capitals,Auqib Nabi,1
26,Delhi Capitals,L Ngidi,20
