match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
15,Lucknow Super Giants,N Pooran,5,0,0,0,6
15,Lucknow Super Giants,Abdul Samad,6,0,0,0,7
15,Lucknow Super Giants,MD Choudhary,7,0,0,0,8
15,Lucknow Super Giants,Mohammed Shami,8,0,0,0,9
15,Lucknow Super Giants,Avesh Khan,9,0,0,0,10
15,Lucknow Super Giants,DS Rathi,,0,0,0,11
15,Lucknow Super Giants,Prince Yadav,,0,0,1,12
16,Royal Challengers Bengaluru,PD Salt,1,0,0,0,1
16,Royal Challengers Bengaluru,V Kohli,2,0,0,0,2
16,Royal Challengers Bengaluru,D Padikkal,3,0,0,0,3
16,Royal Challengers Bengaluru,RM Patidar,4,1,0,0,4
16,Royal Challengers Bengaluru,KH Pandya,5,0,0,0,5
16,Royal Challengers Bengaluru,JM Sharma,6,0,1,0,6
16,Royal Challengers Bengaluru,TH David,7,0,0,0,7
16,Royal Challengers Bengaluru,R Shepherd,8,0,0,0,8
16,Royal Challengers Bengaluru,VR Iyer,9,0,0,0,9
16,Royal Challengers Bengaluru,B Kumar,10,0,0,0,10
16,Royal Challengers Bengaluru,Abhinandan Singh,,0,0,0,11
16,Royal Challengers Bengaluru,JR Hazlewood,,0,0,1,12
16,Rajasthan Royals,Sandeep Sharma,,0,0,0,1
16,Rajasthan Royals,YBK Jaiswal,1,0,0,0,2
16,Rajasthan Royals,V Suryavanshi,2,0,0,0,3
16,Rajasthan Royals,Dhruv Jurel,3,0,1,0,4
16,Rajasthan Royals,SO Hetmyer,4,0,0,0,5
16,Rajasthan Royals,R Parag,5,1,0,0,6
16,Rajasthan Royals,RA Jadeja,6,0,0,0,7
16,Rajasthan Royals,D Ferreira,,0,0,0,8
16,Rajasthan Royals,Ravi Bishnoi,,0,0,0,9
16,Rajasthan Royals,JC Archer,,0,0,0,10
16,Rajasthan Royals,N Burger,,0,0,0,11
16,Rajasthan Royals,Brijesh Sharma,,0,0,1,12
17,Sunrisers Hyderabad,JD Unadkat,,0,0,0,1
17,Sunrisers Hyderabad,Abhishek Sharma,1,0,0,0,2
17,Sunrisers Hyderabad,TM Head,2,0,0,0,3
17,Sunrisers Hyderabad,Ishan Kishan,3,1,1,0,4
17,Sunrisers Hyderabad,H Klaasen,4,0,1,0,5
17,Sunrisers Hyderabad,Aniket Verma,5,0,0,0,6
17,Sunrisers Hyderabad,S Arora,6,0,0,0,7
